guid,rd_id
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147270,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147270
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR10484371,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR10484371
https://www.ncbi.nlm.nih.gov/nuccore/MT270825,https://www.ncbi.nlm.nih.gov/nuccore/MT270825
https://www.ebi.ac.uk/ena/browser/view/PRJNA657829,https://www.ebi.ac.uk/ena/browser/view/PRJNA657829
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124203,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124203
https://doi.org/10.17605/OSF.IO/XSBHW,https://doi.org/10.17605/OSF.IO/XSBHW
https://doi.org/10.5281/zenodo.3378028,https://www.zenodo.org/record/3378028
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138532,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138532
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94916,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94916
http://doi.org/10.2210/pdb6G1Y/pdb,http://doi.org/10.2210/pdb6G1Y/pdb
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107937,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107937
https://www.ebi.ac.uk/ena/browser/view/PRJEB28593,https://www.ebi.ac.uk/ena/browser/view/PRJEB28593
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse120589,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse120589
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse146173,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse146173
https://codeocean.com/capsule/9813295/tree/v2,https://codeocean.com/capsule/9813295/tree/v2
https://doi.org/10.1371/journal.pone.0229260,https://figshare.com/articles/dataset/Virus-associated_anterior_uveitis_and_secondary_glaucoma_Diagnostics_clinical_characteristics_and_surgical_options/11893245
https://doi.org/10.24433/CO.1724316.v1,https://doi.org/10.24433/CO.1724316.v1
http://doi.org/10.2210/pdb6XKQ/pdb,http://doi.org/10.2210/pdb6XKQ/pdb
https://www.ncbi.nlm.nih.gov/nuccore/MW002770,https://www.ncbi.nlm.nih.gov/nuccore/MW002770
https://doi.org/10.17632/f6tb3csgjt.1,https://doi.org/10.17632/f6tb3csgjt.1
https://www.ncbi.nlm.nih.gov/nuccore/MK598003,https://www.ncbi.nlm.nih.gov/nuccore/MK598003
https://www.ebi.ac.uk/pdbe/entry/emdb/EMD-10045,https://www.ebi.ac.uk/pdbe/entry/emdb/EMD-10045
http://doi.org/10.2210/pdb6RWK/pdb,http://doi.org/10.2210/pdb6RWK/pdb
https://github.com/scitedotai/research-wikipedia/tree/master/Data,https://github.com/scitedotai/research-wikipedia/tree/master/Data
http://www.peptideatlas.org/PASS/PASS01606,http://www.peptideatlas.org/PASS/PASS01606
https://osf.io/u9fw8/,https://osf.io/3d5um/
https://codeocean.com/capsule/6259283/tree/v4,https://codeocean.com/capsule/6259283/tree/v4
https://doi.org/10.7910/DVN/LL3C1R,https://doi.org/10.7910/DVN/LL3C1R
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR10341086,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR10341086
https://doi.org/10.9999/journal.pone.0201548,https://doi.org/10.9999/journal.pone.0201548
https://www.ncbi.nlm.nih.gov/nuccore/NC_000005.10?report=graph&mk=114404655|NC_000005.10\:g.114404655_114404658del|green,https://www.ncbi.nlm.nih.gov/nuccore/NC_000005.10?report=graph&mk=114404655|NC_000005.10\:g.114404655_114404658del|green
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119423,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119423
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136264
https://www.ebi.ac.uk/ena/browser/view/prjeb27665?show=reads,https://www.ebi.ac.uk/ena/browser/view/prjeb27665?show=reads
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160524,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160524
https://www.ebi.ac.uk/pride/archive/projects/PXD020612,https://www.ebi.ac.uk/pride/archive/projects/PXD020612
https://osf.io/3x95n/,https://osf.io/3x95n/
https://doi.org/10.1371/journal.pone.0243711.s001,https://figshare.com/articles/dataset/S1_File_-/13362405
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR6847218,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR6847218
https://www.ncbi.nlm.nih.gov/bioproject/?term=prjna437582,https://www.ncbi.nlm.nih.gov/bioproject/?term=prjna437582
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse134092,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse134092
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8454256,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8454256
https://www.ebi.ac.uk/emdb/EMD-0270,https://www.ebi.ac.uk/emdb/EMD-0270
http://doi.org/10.2210/pdb6HTQ/pdb,http://doi.org/10.2210/pdb6HTQ/pdb
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142696,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142696
https://github.com/choderalab/selectivity/tree/master/fep/fep_maps,https://github.com/choderalab/selectivity/tree/master/fep/fep_maps
https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13762768,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR13762768
